text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"Until next time, Justin. Good to know that Canada and the world will benefit from your leadership for years to come. https://t.co/T10g64niul",FALSE,29435,NA,2016-06-30 15:38:05,FALSE,NA,7.48541124524929E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,8014,FALSE,FALSE,NA,NA
"Women’s opportunities are expanded and our nation is stronger when all of our citizens have accessible, affordable health care.",FALSE,15410,POTUS44,2016-06-27 16:28:29,FALSE,7.4746644534535E+017,7.47466642725057E+017,1536791610,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,4124,FALSE,FALSE,NA,NA
Every woman has a constitutional right to make her own reproductive choices. I'm pleased to see the Supreme Court reaffirm that fact today.,FALSE,107532,NA,2016-06-27 16:27:42,FALSE,NA,7.4746644534535E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,42569,FALSE,FALSE,NA,NA
Thank you John Lewis for leading on gun violence where we need it most. https://t.co/vctfqAH5Wt,FALSE,53557,NA,2016-06-22 17:45:58,FALSE,NA,7.45674203286774E+017,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",POTUS44,23685,FALSE,FALSE,NA,NA
"By giving him its highest rating, the American Bar Association confirms what we all know: Judge Garland should serve on the Supreme Court.",FALSE,20078,NA,2016-06-21 18:47:29,FALSE,NA,7.4532729554457E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,5348,FALSE,FALSE,NA,NA
"Gun violence requires more than moments of silence. It requires action. In failing that test, the Senate failed the American people.",FALSE,115951,NA,2016-06-21 15:11:24,FALSE,NA,7.45272915780743E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,61779,FALSE,FALSE,NA,NA
What a game and what a series for the @Cavs. Happy to see @KingJames bring it home for Cleveland!,FALSE,66779,NA,2016-06-20 03:30:52,FALSE,NA,7.44734234179477E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,32989,FALSE,FALSE,NA,NA
Happy Father's Day to all the dads out there. Glad to be spending this one with my family in Yosemite. https://t.co/SaNJgmoIK1,FALSE,26876,NA,2016-06-19 22:22:49,FALSE,NA,7.44656711596773E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,4770,FALSE,FALSE,NA,NA
"He shook up the world, and the world's better for it. Rest in peace, Champ. https://t.co/z1yM3sSLH3",FALSE,137891,NA,2016-06-04 14:05:32,FALSE,NA,7.39095745584845E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,59894,FALSE,FALSE,NA,NA
We cannot accept our level of gun violence as the new normal. We must take action to prevent this from happening again &amp; again. #WearOrange,FALSE,40721,NA,2016-06-02 15:16:07,FALSE,NA,7.38388734207512E+017,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",POTUS44,17272,FALSE,FALSE,NA,NA
